IDX,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,AMT_ANNUITY,AMT_CREDIT,DAYS_BIRTH,NAME_EDUCATION_TYPE,OCCUPATION_TYPE,TARGET
5027,F,N,Y,166500,6750,135000,-17329,Secondary / secondary special,Laborers,0
5028,F,N,N,225000,23593.5,553806,-13699,Secondary / secondary special,Sales staff,0
5029,M,N,Y,157500,26379,595903.5,-17699,Secondary / secondary special,Laborers,0
5030,F,Y,Y,270000,37669.5,1288350,-21025,Higher education,,0
5031,M,N,Y,180000,5832,151272,-13733,Secondary / secondary special,Security staff,0
5032,F,N,Y,225000,36531,712944,-11685,Higher education,Laborers,0
5033,M,Y,N,135000,27054,730017,-12721,Higher education,Laborers,0
5034,F,N,Y,684000,36292.5,1125000,-19363,Secondary / secondary special,Medicine staff,0
5035,M,N,Y,180000,37800,1288350,-20455,Higher education,,0
5036,F,N,N,90000,20524.5,521280,-10202,Secondary / secondary special,Laborers,0
5037,M,N,Y,225000,65704.5,983160,-10565,Lower secondary,,0
5038,F,Y,Y,112500,29862,675000,-18803,Secondary / secondary special,Sales staff,0
5039,M,N,Y,90000,14958,187704,-14538,Lower secondary,Laborers,0
5040,M,Y,Y,337500,35464.5,997335,-17489,Lower secondary,Managers,0
5041,F,N,Y,90000,13500,270000,-19587,Secondary / secondary special,Laborers,0
5042,M,N,Y,225000,27000,540000,-14528,Secondary / secondary special,Laborers,0
5043,M,Y,Y,225000,28291.5,873000,-13703,Higher education,,0
5044,F,Y,Y,346500,81553.5,1575000,-17836,Higher education,Managers,0
5045,F,N,Y,121500,33642,481495.5,-11549,Higher education,Laborers,0
5046,F,N,Y,225000,51948,1223010,-10395,Higher education,Core staff,1
5047,M,N,Y,180999,57564,2016000,-20630,Secondary / secondary special,,0
5048,F,N,N,292500,35689.5,1216201.5,-15600,Secondary / secondary special,Managers,0
5049,F,N,Y,54000,9000,180000,-18536,Secondary / secondary special,Core staff,0
5050,F,N,Y,180000,45202.5,1546020,-15248,Secondary / secondary special,High skill tech staff,0
5051,F,N,Y,81000,25186.5,436500,-13691,Secondary / secondary special,Cooking staff,0
5052,M,Y,Y,76500,15016.5,152820,-22224,Secondary / secondary special,,0
5053,F,N,N,180000,40135.5,787500,-10497,Higher education,Sales staff,0
5054,F,N,Y,93600,25447.5,239850,-25121,Secondary / secondary special,Security staff,0
5055,F,N,Y,135000,27292.5,521280,-9877,Secondary / secondary special,Laborers,0
5056,F,Y,Y,112500,15448.5,197820,-15235,Secondary / secondary special,Laborers,0
5057,M,N,Y,180000,21460.5,270000,-13658,Secondary / secondary special,Cleaning staff,0
5058,F,N,Y,301500,28827,810000,-13059,Higher education,,0
5059,F,N,Y,180000,15790.5,225000,-24380,Secondary / secondary special,,0
5060,F,N,Y,175500,12375,247500,-11313,Secondary / secondary special,Cooking staff,0
5061,M,Y,N,180000,39069,733315.5,-16356,Secondary / secondary special,Drivers,0
5062,M,Y,Y,58500,9486,95940,-9224,Secondary / secondary special,Low-skill Laborers,0
5063,M,Y,Y,360000,72607.5,2085120,-15464,Higher education,Drivers,0
5064,F,Y,Y,157500,43866,553581,-12487,Higher education,Core staff,0
5065,F,Y,Y,135000,40932,521280,-11862,Secondary / secondary special,Sales staff,1
5066,F,N,Y,67500,19674,373311,-10220,Secondary / secondary special,Cooking staff,1
5067,F,Y,Y,180000,47664,1198548,-16806,Secondary / secondary special,Sales staff,0
5068,M,N,N,360000,30204,450000,-13635,Higher education,Laborers,0
5069,F,N,Y,144000,33052.5,846000,-12525,Higher education,Managers,0
5070,M,N,Y,72000,12217.5,101880,-12424,Secondary / secondary special,Laborers,0
5071,F,N,Y,180000,21051,720000,-11476,Secondary / secondary special,Sales staff,0
5072,M,N,Y,202500,13500,270000,-12326,Secondary / secondary special,,0
5073,M,Y,Y,360000,32472,675000,-13186,Secondary / secondary special,Drivers,0
5074,F,N,N,94500,17527.5,526491,-23788,Secondary / secondary special,,0
5075,F,N,Y,157500,14593.5,224136,-21965,Secondary / secondary special,Cleaning staff,0
5076,F,N,N,135000,46791,1006920,-12584,Secondary / secondary special,Laborers,0
5077,M,N,N,121500,39649.5,500211,-12828,Secondary / secondary special,Drivers,0
5078,F,N,Y,90000,16033.5,327024,-17438,Secondary / secondary special,Sales staff,0
5079,F,N,Y,252000,23670,607500,-21043,Secondary / secondary special,High skill tech staff,0
5080,F,N,N,427500,45000,9.00E+05,-14440,Secondary / secondary special,,0
5081,F,N,Y,135000,34578,1178217,-16191,Secondary / secondary special,Core staff,0
5082,F,N,Y,123525,38322,904500,-14182,Secondary / secondary special,Security staff,0
5083,F,Y,Y,171000,34240.5,1125000,-13533,Secondary / secondary special,Laborers,0
5084,F,N,Y,135000,51948,1223010,-18383,Secondary / secondary special,Laborers,0
5085,F,Y,Y,90000,6750,135000,-10343,Higher education,Managers,0
5086,M,N,Y,112500,7875,157500,-8584,Secondary / secondary special,Drivers,0
5087,F,Y,Y,144000,39339,524403,-19646,Secondary / secondary special,Accountants,0
5088,F,N,N,144000,38821.5,1350000,-13592,Higher education,Core staff,0
5089,M,Y,Y,405000,35059.5,625536,-16907,Incomplete higher,Managers,0
5090,F,Y,Y,180000,44793,1057266,-21449,Higher education,,0
5091,F,Y,Y,315000,23283,403330.5,-14385,Secondary / secondary special,Managers,0
5092,F,Y,N,112500,6750,135000,-7788,Higher education,Core staff,0
5093,M,N,Y,337500,37800,1288350,-20588,Higher education,,0
5094,F,N,Y,112500,23989.5,490536,-13714,Higher education,Core staff,0
5095,F,N,Y,81000,10125,202500,-16892,Secondary / secondary special,,0
5096,F,N,Y,112500,36459,755190,-10470,Secondary / secondary special,Private service staff,0
5097,M,N,Y,135000,31630.5,521280,-12958,Secondary / secondary special,,0
5098,M,Y,N,225000,60147,9.00E+05,-10672,Secondary / secondary special,Drivers,0
5099,F,Y,Y,202500,25537.5,545040,-11406,Secondary / secondary special,Laborers,0
5100,F,Y,Y,90000,18382.5,232438.5,-24794,Secondary / secondary special,,0
5101,F,N,Y,67500,24475.5,754740,-14155,Secondary / secondary special,Sales staff,0
5102,M,N,N,135000,21775.5,332473.5,-11789,Secondary / secondary special,,0
5103,F,Y,Y,135000,8739,109008,-15650,Higher education,Laborers,0
5104,F,Y,Y,157500,20250,254700,-18284,Higher education,Sales staff,0
5105,F,N,Y,121500,29520,1005120,-17297,Secondary / secondary special,Laborers,0
5106,M,N,N,157500,10795.5,135000,-14869,Secondary / secondary special,Laborers,0
5107,F,N,Y,135000,14350.5,254700,-23896,Secondary / secondary special,,0
5108,F,N,Y,216000,68985,1980864,-18695,Secondary / secondary special,,0
5109,F,Y,Y,202500,45954,9.00E+05,-21422,Higher education,High skill tech staff,0
5110,F,Y,Y,112500,13045.5,225000,-21234,Secondary / secondary special,,0
5111,F,N,Y,135000,29416.5,886176,-20908,Secondary / secondary special,,0
5112,F,N,N,112500,21757.5,754740,-12568,Secondary / secondary special,,0
5113,F,N,Y,180000,13500,270000,-11739,Secondary / secondary special,Sales staff,0
5114,M,N,N,90000,26086.5,808650,-13869,Secondary / secondary special,Medicine staff,0
5115,F,N,Y,103500,18643.5,284400,-11259,Secondary / secondary special,Sales staff,0
5116,F,N,Y,225000,27544.5,622413,-17101,Secondary / secondary special,Laborers,0
5117,F,Y,Y,157500,49180.5,455445,-14471,Higher education,Core staff,0
5118,M,N,Y,112500,17338.5,247275,-24269,Secondary / secondary special,,0
5119,F,N,N,157500,10341,152820,-10928,Secondary / secondary special,,0
5120,F,N,Y,144000,13518,277969.5,-10399,Higher education,,0
5121,F,N,Y,157500,45328.5,1546020,-19800,Secondary / secondary special,Laborers,0
5122,F,N,Y,112500,15750,315000,-11951,Secondary / secondary special,Laborers,0
5123,F,N,N,234000,26640,545040,-12716,Higher education,Accountants,0
5124,M,Y,Y,135000,61906.5,781920,-12113,Secondary / secondary special,,1
5125,F,N,N,135000,11871,450000,-15956,Secondary / secondary special,Accountants,0
5126,M,N,Y,162000,20250,405000,-23602,Secondary / secondary special,,0
5127,M,N,N,157500,37881,891072,-10333,Higher education,Core staff,0
5128,F,N,Y,225000,33025.5,1125000,-15335,Higher education,Accountants,0
5129,M,Y,N,202500,11479.5,148365,-13552,Higher education,Core staff,0
5130,F,Y,Y,247500,15786,540000,-22140,Secondary / secondary special,Sales staff,0
5131,F,N,Y,202500,9625.5,215640,-23051,Secondary / secondary special,,0
5132,M,N,N,126000,35964,675000,-23067,Secondary / secondary special,,0
5133,F,N,N,45000,21829.5,191880,-12436,Higher education,Sales staff,0
5134,M,N,N,180000,31810.5,1206000,-17443,Secondary / secondary special,Laborers,0
5135,F,N,Y,315000,53640,1266048,-21126,Secondary / secondary special,Laborers,0
5136,F,Y,Y,103500,11250,225000,-16206,Secondary / secondary special,Core staff,0
5137,F,N,Y,157500,25879.5,463500,-17370,Secondary / secondary special,Laborers,0
5138,F,N,Y,90000,38659.5,675000,-15906,Secondary / secondary special,Laborers,1
5139,F,N,N,180000,31630.5,521280,-10569,Higher education,Laborers,0
5140,F,Y,Y,202500,21775.5,675000,-19319,Higher education,Managers,0
5141,F,N,N,126000,13986,483480,-12665,Higher education,Sales staff,0
5142,M,Y,N,112500,22977,450000,-18180,Secondary / secondary special,Laborers,0
5143,F,N,N,180000,38938.5,728460,-23681,Lower secondary,,0
5144,M,N,Y,135000,10125,202500,-18272,Secondary / secondary special,Laborers,0
5145,F,N,N,382500,42543,761949,-19850,Secondary / secondary special,Managers,0
5146,F,N,Y,94500,14454,135000,-23548,Incomplete higher,,0
5147,F,N,Y,144000,37800,1288350,-14152,Secondary / secondary special,,0
5148,M,Y,Y,202500,53514,750649.5,-16411,Secondary / secondary special,Managers,0
5149,M,Y,Y,279000,47056.5,1350000,-11073,Higher education,Core staff,0
5150,M,Y,Y,180000,17806.5,242950.5,-19057,Higher education,Laborers,0
5151,F,Y,N,225000,22018.5,450000,-15523,Secondary / secondary special,Sales staff,0
5152,F,Y,N,135000,19791,547344,-15889,Secondary / secondary special,,0
5153,M,N,Y,67500,7533,113760,-17909,Secondary / secondary special,Laborers,0
5154,F,N,Y,166500,33907.5,1155226.5,-14646,Secondary / secondary special,Cooking staff,1
5155,F,N,Y,135000,39676.5,728460,-16971,Secondary / secondary special,Sales staff,1
5156,M,N,N,112500,25321.5,254700,-14450,Higher education,Laborers,0
5157,M,Y,Y,675000,115803,1187370,-14137,Higher education,Managers,0
5158,M,Y,Y,112500,9193.5,188460,-21876,Secondary / secondary special,Security staff,0
5159,F,Y,Y,157500,38133,485640,-10301,Secondary / secondary special,High skill tech staff,1
5160,F,N,N,157500,36864,1256400,-12888,Higher education,Laborers,0
5161,F,N,Y,103500,29470.5,1003500,-21833,Secondary / secondary special,,0
5162,F,N,Y,202500,28417.5,972000,-16871,Secondary / secondary special,,0
5163,F,N,N,180000,15156,369000,-11954,Secondary / secondary special,,0
5164,F,Y,N,157500,57411,1545624,-17472,Higher education,,0
5165,F,N,Y,180000,36459,755190,-9849,Higher education,Core staff,0
5166,M,N,Y,135000,23143.5,436032,-15331,Secondary / secondary special,High skill tech staff,0
5167,M,N,Y,90000,9000,180000,-12868,Secondary / secondary special,Laborers,0
5168,M,N,Y,148500,22234.5,474183,-22428,Secondary / secondary special,,0
5169,F,N,Y,135000,29164.5,9.00E+05,-21877,Secondary / secondary special,,0
5170,F,N,Y,76500,19039.5,526491,-21693,Secondary / secondary special,,0
5171,M,Y,Y,180000,52452,1024740,-13026,Higher education,IT staff,0
5172,F,N,Y,135000,19215,314100,-8858,Lower secondary,Sales staff,0
5173,F,N,Y,202500,29065.5,601470,-12576,Secondary / secondary special,Sales staff,0
5174,M,Y,Y,216000,26086.5,808650,-13585,Higher education,High skill tech staff,0
5175,F,N,Y,180000,9031.5,90000,-17308,Secondary / secondary special,,0
5176,F,N,Y,225000,33259.5,781920,-23247,Secondary / secondary special,,0
5177,M,Y,N,225000,42012,1436850,-15156,Higher education,Managers,0
5178,F,N,N,225000,25978.5,782181,-22985,Higher education,High skill tech staff,0
5179,M,Y,N,90000,21339,436032,-9054,Secondary / secondary special,Drivers,0
5180,F,N,N,103500,30528,942300,-20019,Secondary / secondary special,,0
5181,F,N,N,112500,46084.5,9.00E+05,-14467,Higher education,Core staff,0
5182,M,Y,Y,144000,30073.5,450000,-15993,Higher education,Drivers,0
5183,F,N,N,135000,26770.5,553806,-16863,Secondary / secondary special,Core staff,0
5184,M,N,Y,180000,26145,787131,-16901,Secondary / secondary special,Drivers,0
5185,F,N,N,157500,16371,225000,-20302,Secondary / secondary special,,0
5186,F,N,Y,63000,13045.5,225000,-23403,Secondary / secondary special,,0
5187,F,N,Y,148500,15732,544491,-23687,Secondary / secondary special,,0
5188,F,N,Y,157500,62203.5,971280,-13520,Higher education,Core staff,0
5189,F,N,Y,162000,39568.5,819792,-18405,Secondary / secondary special,High skill tech staff,0
5190,F,Y,Y,81000,33831,795465,-21607,Secondary / secondary special,,1
5191,M,N,Y,112500,27531,450000,-15132,Secondary / secondary special,Drivers,0
5192,M,N,N,202500,21798,568908,-10765,Higher education,Core staff,0
5193,F,N,Y,220500,23008.5,540000,-16708,Secondary / secondary special,Sales staff,0
5194,M,Y,Y,202500,17964,168102,-9780,Secondary / secondary special,Drivers,0
5195,M,Y,N,153000,14215.5,373311,-14514,Secondary / secondary special,Laborers,0
5196,M,Y,Y,270000,34074,945000,-10405,Secondary / secondary special,Laborers,0
5197,F,N,Y,157500,57676.5,790830,-10014,Secondary / secondary special,Private service staff,1
5198,M,Y,N,135000,6066,225000,-10969,Secondary / secondary special,Drivers,0
5199,F,N,Y,148500,37800,1288350,-11268,Higher education,Accountants,0
5200,F,N,N,117000,24808.5,254700,-24682,Secondary / secondary special,,0
5201,F,N,Y,202500,28116,976500,-21543,Higher education,Core staff,0
5202,F,N,Y,157500,26217,808650,-20615,Higher education,,0
5203,F,N,Y,112500,13500,270000,-15936,Secondary / secondary special,Laborers,0
5204,M,N,Y,121500,12375,247500,-12062,Higher education,Laborers,0
5205,F,N,N,112500,11871,450000,-11142,Higher education,,0
5206,M,N,Y,225000,26284.5,675000,-18780,Higher education,Drivers,0
5207,F,N,Y,121500,41188.5,1561500,-20799,Secondary / secondary special,,0
5208,F,N,Y,67500,22536,283585.5,-14709,Secondary / secondary special,,0
5209,M,N,N,54000,8257.5,135000,-18606,Secondary / secondary special,Low-skill Laborers,0
5210,M,N,Y,135000,10039.5,225000,-8582,Secondary / secondary special,Sales staff,0
5211,M,N,Y,180000,19251,238500,-11866,Secondary / secondary special,,0
5212,F,N,Y,130500,15408,408780,-22333,Secondary / secondary special,,0
5213,M,N,N,157500,28215,781920,-8111,Incomplete higher,Laborers,0
5214,M,N,N,202500,35869.5,904500,-10019,Higher education,High skill tech staff,0
5215,M,Y,N,270000,35541,315000,-9460,Higher education,Laborers,0
5216,F,N,Y,225000,51948,1223010,-16158,Secondary / secondary special,Laborers,0
5217,M,Y,N,99000,17802,337500,-14031,Secondary / secondary special,Drivers,0
5218,F,N,Y,67500,10575,99504,-19860,Secondary / secondary special,Managers,0
5219,F,N,N,121500,45954,9.00E+05,-18999,Secondary / secondary special,Managers,0
5220,M,N,Y,135000,13500,270000,-13482,Higher education,Laborers,0
5221,M,Y,Y,236250,31720.5,1080504,-21400,Higher education,Security staff,0
5222,F,N,Y,157500,16965,468733.5,-23526,Secondary / secondary special,,0
5223,F,N,N,126000,11565,171000,-11130,Higher education,Core staff,0
5224,F,Y,Y,360000,32877,512446.5,-14267,Higher education,Laborers,0
5225,F,Y,Y,225000,61906.5,781920,-13306,Higher education,Core staff,0
5226,M,N,N,225000,26028,479799,-8423,Secondary / secondary special,Laborers,0
5227,F,Y,Y,135000,19525.5,540000,-15236,Higher education,Laborers,0
5228,M,N,N,99000,9018,113211,-13584,Secondary / secondary special,Drivers,0
5229,M,Y,Y,166500,9639,118602,-17357,Secondary / secondary special,Laborers,0
5230,F,N,Y,90000,19345.5,675000,-22983,Secondary / secondary special,,0
5231,F,N,Y,90000,13500,270000,-14102,Higher education,Core staff,0
5232,F,N,Y,236250,29677.5,755190,-23203,Secondary / secondary special,,0
5233,M,Y,Y,225000,33750,675000,-11835,Secondary / secondary special,Sales staff,0
5234,M,Y,Y,315000,66843,1574532,-15589,Secondary / secondary special,Core staff,0
5235,F,N,Y,51750,7875,157500,-21765,Higher education,,0
5236,F,N,Y,180000,29731.5,675000,-17484,Secondary / secondary special,Cooking staff,0
5237,F,N,Y,135000,17217,315000,-15080,Secondary / secondary special,Core staff,1
5238,F,N,Y,112500,30357,254700,-17024,Higher education,Accountants,0
5239,F,N,Y,112500,17905.5,225000,-21230,Secondary / secondary special,,0
5240,M,Y,Y,157500,14548.5,265851,-10305,Secondary / secondary special,,0
5241,F,Y,N,270000,51021,473760,-14905,Higher education,Core staff,0
5242,F,N,Y,157500,27324,450000,-9828,Secondary / secondary special,Waiters/barmen staff,0
5243,M,N,Y,135000,50598,675000,-13188,Secondary / secondary special,Core staff,0
5244,M,N,Y,157500,41445,809136,-16433,Secondary / secondary special,Drivers,0
5245,F,N,Y,360000,24988.5,458235,-10556,Secondary / secondary special,Managers,0
5246,F,Y,Y,171000,34929,625536,-12049,Higher education,Accountants,0
5247,F,N,Y,90000,25911,426645,-16029,Secondary / secondary special,Sales staff,1
5248,F,N,N,67500,6390,61128,-20618,Secondary / secondary special,,0
5249,M,Y,Y,135000,16587,152820,-17799,Secondary / secondary special,High skill tech staff,0
5250,F,Y,Y,117000,10345.5,284400,-13840,Secondary / secondary special,Laborers,0
5251,M,Y,N,135000,30744,284256,-10438,Secondary / secondary special,Laborers,0
5252,F,N,Y,112500,15016.5,152820,-23286,Secondary / secondary special,,0
5253,F,N,N,117000,24097.5,229500,-15090,Secondary / secondary special,Sales staff,0
5254,M,Y,N,180000,37800,1288350,-16342,Secondary / secondary special,Drivers,0
5255,F,N,N,90000,11070,161730,-19813,Secondary / secondary special,Sales staff,0
5256,M,N,N,270000,23089.5,521280,-15445,Higher education,,0
5257,F,Y,N,112500,51948,1223010,-14000,Secondary / secondary special,Sales staff,0
5258,F,N,Y,175500,22365,808650,-14394,Higher education,Core staff,0
5259,F,N,Y,135000,21888,450000,-10418,Higher education,Core staff,0
5260,F,N,Y,72000,14395.5,306000,-17577,Secondary / secondary special,Medicine staff,1
5261,F,N,Y,135000,28233,961146,-12444,Higher education,,0
5262,F,N,N,148500,46008,500211,-22232,Secondary / secondary special,,1
5263,F,N,N,45000,17338.5,247275,-23721,Lower secondary,,0
5264,M,N,N,238500,36513,942300,-11135,Secondary / secondary special,Laborers,0
5265,F,N,Y,540000,53662.5,1004791.5,-18536,Higher education,Managers,0
5266,F,N,Y,180000,23931,814041,-10435,Secondary / secondary special,,0
5267,F,Y,Y,45000,34587,1042560,-17566,Secondary / secondary special,,0
5268,M,Y,N,450000,57546,1451047.5,-15994,Higher education,Managers,0
5269,M,Y,N,225000,33376.5,497520,-13225,Secondary / secondary special,Drivers,0
5270,F,N,Y,112500,16893,380533.5,-17793,Secondary / secondary special,Laborers,0
5271,F,N,Y,126000,6750,135000,-18251,Secondary / secondary special,Managers,0
5272,F,N,Y,112500,46080,1113399,-22795,Secondary / secondary special,,0
5273,M,Y,Y,189000,20043,273636,-17455,Secondary / secondary special,Laborers,0
5274,M,N,Y,75150,22216.5,521280,-20139,Secondary / secondary special,,0
5275,F,Y,Y,220500,44644.5,1256400,-10369,Higher education,Core staff,0
5276,F,N,Y,135000,29209.5,298512,-18707,Higher education,,0
5277,M,N,N,234000,24075,835605,-13489,Higher education,Managers,0
5278,F,N,Y,81000,17527.5,659610,-18302,Secondary / secondary special,HR staff,0
5279,F,Y,N,112500,26073,358344,-9284,Higher education,Sales staff,0
5280,F,Y,Y,180000,22500,450000,-23208,Secondary / secondary special,,0
5281,M,Y,Y,117000,19282.5,247500,-21233,Secondary / secondary special,Security staff,0
5282,F,N,Y,90000,16011,284400,-24484,Secondary / secondary special,,0
5283,F,Y,N,495000,35046,540000,-13531,Higher education,Managers,0
5284,M,Y,Y,112500,14913,220500,-19499,Secondary / secondary special,Drivers,1
5285,F,N,N,135000,21775.5,675000,-20073,Secondary / secondary special,Managers,0
5286,F,N,Y,135000,13500,270000,-18796,Higher education,Managers,0
5287,M,Y,Y,315000,73579.5,1928304,-11471,Higher education,Core staff,0
5288,M,Y,Y,180000,37710,485640,-11408,Secondary / secondary special,Laborers,0
5289,F,Y,Y,202500,26293.5,894906,-19224,Secondary / secondary special,,0
5290,F,Y,N,202500,30613.5,284256,-9429,Incomplete higher,Medicine staff,0
5291,F,N,Y,225000,17874,536917.5,-23636,Secondary / secondary special,,0
5292,F,N,N,180000,13500,270000,-9215,Higher education,HR staff,0
5293,F,Y,Y,135000,37255.5,1350000,-21410,Secondary / secondary special,,0
5294,F,N,N,157500,46242,450000,-18420,Incomplete higher,Sales staff,0
5295,F,Y,Y,76500,12375,247500,-10267,Secondary / secondary special,High skill tech staff,0
5296,M,N,N,180000,10489.5,225000,-10405,Higher education,Core staff,0
5297,F,N,Y,117000,31167,797557.5,-17599,Secondary / secondary special,Core staff,0
5298,F,N,Y,135000,28597.5,973710,-16975,Secondary / secondary special,Managers,0
5299,M,N,Y,306000,54306,746280,-21807,Secondary / secondary special,,0
5300,F,N,Y,135000,20749.5,550467,-17311,Secondary / secondary special,High skill tech staff,1
5301,F,N,Y,94500,9922.5,101880,-13906,Secondary / secondary special,Sales staff,0
5302,M,Y,Y,270000,44172,974610,-15772,Secondary / secondary special,Drivers,0
5303,F,Y,Y,112500,9000,180000,-8228,Lower secondary,IT staff,0
5304,M,Y,Y,202500,57685.5,728460,-15663,Secondary / secondary special,Laborers,0
5305,F,Y,Y,225000,33025.5,1125000,-21824,Secondary / secondary special,Drivers,0
5306,M,N,Y,121500,33210,495000,-12826,Secondary / secondary special,Low-skill Laborers,0
5307,M,Y,N,225000,16605,167895,-11389,Secondary / secondary special,Laborers,0
5308,F,N,Y,162000,22599,284400,-13752,Secondary / secondary special,Laborers,0
5309,M,Y,Y,360000,25321.5,254700,-24112,Secondary / secondary special,Managers,0
5310,F,N,Y,202500,24543,450000,-17339,Lower secondary,Managers,0
5311,F,N,Y,76500,22351.5,398016,-20145,Secondary / secondary special,Sales staff,0
5312,M,Y,Y,135000,32602.5,675000,-21383,Secondary / secondary special,Laborers,0
5313,F,N,Y,157500,16011,284400,-13980,Secondary / secondary special,Laborers,0
5314,F,N,Y,180000,24750,495000,-18587,Higher education,Accountants,0
5315,F,Y,Y,180000,16047,544491,-15621,Secondary / secondary special,,0
5316,F,N,Y,112500,27760.5,945000,-17640,Secondary / secondary special,,0
5317,F,N,Y,211500,34785,1185282,-19368,Secondary / secondary special,,0
5318,M,Y,N,135000,32895,1125000,-10291,Secondary / secondary special,Laborers,0
5319,M,Y,Y,180000,30708,601470,-8201,Incomplete higher,Laborers,0
5320,M,N,N,157500,19111.5,314100,-11374,Secondary / secondary special,Laborers,0
5321,M,Y,Y,135000,32521.5,497520,-14294,Higher education,Core staff,0
5322,M,N,Y,135000,14850,390447,-19983,Higher education,High skill tech staff,0
5323,F,N,Y,189000,20740.5,284400,-14295,Secondary / secondary special,,0
5324,F,N,N,58500,17694,544491,-18176,Secondary / secondary special,Security staff,0
5325,F,N,Y,675000,22500,450000,-20933,Higher education,Core staff,0
5326,F,Y,Y,67500,12375,247500,-19264,Higher education,Core staff,0
5327,F,N,Y,90000,16456.5,284400,-22079,Secondary / secondary special,,1
5328,F,N,Y,90000,35937,592560,-18133,Secondary / secondary special,Cleaning staff,1
5329,F,Y,Y,162000,16573.5,314100,-12770,Higher education,Managers,0
5330,M,Y,N,67500,28017,706500,-15785,Secondary / secondary special,Laborers,0
5331,M,Y,Y,225000,51151.5,473760,-9746,Higher education,Core staff,0
5332,F,N,Y,157500,42583.5,537322.5,-15488,Secondary / secondary special,Laborers,0
5333,F,N,Y,67500,16344,152820,-9916,Higher education,Sales staff,0
5334,M,N,N,9.00E+05,61875,2250000,-11820,Higher education,Managers,0
5335,F,N,Y,90000,7668,135000,-18478,Secondary / secondary special,Cleaning staff,0
5336,F,N,N,180000,43033.5,543037.5,-9147,Secondary / secondary special,,0
5337,F,N,N,337500,56299.5,1615968,-20090,Secondary / secondary special,,0
5338,M,Y,Y,495000,47965.5,781920,-13594,Higher education,Security staff,0
5339,M,N,Y,270000,47794.5,1125000,-16495,Higher education,Laborers,0
5340,F,N,Y,135000,22018.5,431280,-17898,Secondary / secondary special,Sales staff,1
5341,F,N,Y,180000,24246,824823,-14681,Secondary / secondary special,Sales staff,1
5342,F,N,N,157500,34614,403083,-13604,Secondary / secondary special,,0
5343,F,N,N,135000,18081,269550,-8508,Incomplete higher,,0
5344,F,Y,Y,173250,51948,1223010,-19477,Secondary / secondary special,,0
5345,F,Y,Y,405000,59989.5,1575000,-15600,Higher education,,0
5346,F,N,Y,360000,36571.5,918918,-19776,Higher education,Managers,0
5347,F,Y,Y,207000,22018.5,450000,-14626,Higher education,,0
5348,M,N,N,90000,13257,284400,-11266,Secondary / secondary special,Laborers,1
5349,F,N,N,135000,44617.5,1125000,-17712,Higher education,Core staff,0
5350,F,N,Y,247500,27193.5,273636,-18337,Secondary / secondary special,Security staff,0
5351,M,N,Y,180000,36864,1256400,-18355,Higher education,Core staff,0
5352,F,N,N,157500,13023,454500,-20449,Secondary / secondary special,,0
5353,M,N,N,225000,24462,508495.5,-13021,Higher education,Managers,0
5354,F,N,Y,112500,21933,495000,-21731,Secondary / secondary special,,0
5355,F,N,Y,67500,8923.5,123637.5,-22117,Higher education,,0
5356,F,N,N,225000,24462,508495.5,-11226,Secondary / secondary special,Sales staff,0
5357,F,N,Y,112500,23773.5,808650,-17219,Secondary / secondary special,,0
5358,F,N,Y,90000,49837.5,973503,-17619,Secondary / secondary special,Sales staff,0
5359,M,N,Y,157500,8671.5,157500,-8563,Secondary / secondary special,Drivers,0
5360,M,Y,Y,202500,4558.5,68256,-15464,Higher education,Managers,0
5361,M,Y,N,225000,66712.5,1249740,-19048,Secondary / secondary special,Laborers,0
5362,F,N,Y,81000,12375,247500,-10096,Secondary / secondary special,Sales staff,0
5363,F,N,Y,81000,26928,916470,-13636,Secondary / secondary special,Sales staff,0
5364,F,Y,Y,225000,26118,945000,-21756,Higher education,Core staff,0
5365,F,N,Y,67500,15061.5,292500,-12971,Secondary / secondary special,Core staff,0
5366,M,Y,Y,112500,26284.5,675000,-9185,Secondary / secondary special,Laborers,0
5367,F,N,N,90000,29407.5,573408,-11958,Secondary / secondary special,Core staff,0
5368,F,N,Y,135000,10593,271066.5,-23902,Secondary / secondary special,,0
5369,F,N,Y,171000,27522,539100,-17434,Secondary / secondary special,,0
5370,F,N,Y,90000,9000,180000,-18539,Higher education,,0
5371,M,Y,Y,157500,20119.5,254700,-11494,Secondary / secondary special,Sales staff,0
5372,F,Y,Y,180000,20475,630747,-10179,Higher education,Drivers,0
5373,M,N,Y,135000,48861,500211,-8982,Incomplete higher,,0
5374,M,N,N,225000,28201.5,727785,-11605,Incomplete higher,Core staff,0
5375,M,Y,Y,315000,46174.5,848745,-10399,Secondary / secondary special,Laborers,0
5376,F,N,N,112500,15660,436032,-15689,Secondary / secondary special,Sales staff,0
5377,F,Y,N,112500,12199.5,112068,-11737,Secondary / secondary special,Waiters/barmen staff,0
5378,F,N,Y,157500,36805.5,599472,-19167,Secondary / secondary special,Waiters/barmen staff,0
5379,M,Y,N,202500,36040.5,454500,-9967,Higher education,,0
5380,M,Y,N,121500,5535,50940,-10525,Secondary / secondary special,Laborers,0
5381,M,Y,Y,180000,27517.5,490495.5,-16463,Higher education,Drivers,0
5382,F,Y,Y,171000,28597.5,675000,-15042,Secondary / secondary special,Sales staff,0
